Squad,Market Value
France,"₹12,184 Cr"
England,"₹10,906 Cr"
Spain,"₹9,782 Cr"
Portugal,"₹8,044 Cr"
Germany,"₹7,576 Cr"
Brazil,"₹7,426 Cr"
Netherlands,"₹6,434 Cr"
Argentina,"₹6,260 Cr"
Norway,"₹4,719 Cr"
Belgium,"₹4,380 Cr"
Ivory Coast,"₹4,177 Cr"
Morocco,"₹3,986 Cr"
Senegal,"₹3,825 Cr"
Turkiye,"₹3,790 Cr"
Sweden,"₹3,249 Cr"
Croatia,"₹3,098 Cr"
United States,"₹3,085 Cr"
Ecuador,"₹2,950 Cr"
Uruguay,"₹2,874 Cr"
Switzerland,"₹2,660 Cr"
Colombia,"₹2,419 Cr"
Japan,"₹2,167 Cr"
Algeria,"₹2,055 Cr"
Austria,"₹1,938 Cr"
Ghana,"₹1,877 Cr"
Canada,"₹1,573 Cr"
Mexico,"₹1,535 Cr"
Czech Republic,"₹1,505 Cr"
Scotland,"₹1,362 Cr"
Paraguay,"₹1,229 Cr"
Bosnia-Herzegovina,"₹1,213 Cr"
Democratic Republic of the Congo,"₹1,151 Cr"
South Korea,"₹1,112 Cr"
Egypt,₹932 Cr
Uzbekistan,₹683 Cr
Australia,₹620 Cr
Tunisia,₹560 Cr
Haiti,₹447 Cr
Cape Verde,₹436 Cr
South Africa,₹394 Cr
Saudi Arabia,₹325 Cr
Panama,₹276 Cr
New Zealand,₹275 Cr
Iran,₹256 Cr
Curaçao,₹206 Cr
Iraq,₹170 Cr
Jordan,₹160 Cr
Qatar,₹159 Cr
Denmark,"₹2,920 Cr"
Italy,"₹2,526 Cr"
Greece,"₹2,205 Cr"
Ukraine,"₹1,976 Cr"
Georgia,"₹2,069 Cr"
Poland,"₹1,853 Cr"
Cameroon,"₹1,590 Cr"
Serbia,"₹1,648 Cr"
Nigeria,"₹1,375 Cr"
Russia,"₹1,942 Cr"
Hungary,"₹1,674 Cr"
Wales,"₹1,445 Cr"
Kosovo,"₹1,180 Cr"
Republic of Ireland,"₹1,171 Cr"
Burkina Faso,₹884 Cr
Mali,₹932 Cr
Slovenia,₹804 Cr
Iceland,₹713 Cr
Northern Ireland,₹639 Cr
The Gambia,₹630 Cr
Albania,₹710 Cr
Venezuela,₹631 Cr
Israel,₹503 Cr
Chile,₹534 Cr
Guinea,₹587 Cr
Montenegro,₹548 Cr
Romania,₹449 Cr
Slovakia,₹479 Cr
Angola,₹379 Cr
Guinea-Bissau,₹316 Cr
Armenia,₹339 Cr
Finland,₹335 Cr
Suriname,₹287 Cr
North Macedonia,₹271 Cr
Costa Rica,₹226 Cr
Peru,₹240 Cr
United Arab Emirates,₹232 Cr
Bulgaria,₹241 Cr
Zimbabwe,₹203 Cr
Togo,₹222 Cr
Mauritania,₹203 Cr
Gabon,₹280 Cr
Indonesia,₹156 Cr
Honduras,₹167 Cr
Benin,₹145 Cr
Cyprus,₹154 Cr
Azerbaijan,₹145 Cr
Bolivia,₹144 Cr
Kazakhstan,₹130 Cr
Belarus,₹123 Cr
Lithuania,₹118 Cr
Luxembourg,₹116 Cr
Zambia,₹113 Cr
Sierra Leone,₹107 Cr
Malta,₹120 Cr
China,₹115 Cr
Liberia,₹115 Cr
Guadeloupe,₹110 Cr
Libya,₹81 Cr
Estonia,₹109 Cr
Dominican Republic,₹102 Cr
Niger,₹88 Cr
Moldova,₹76.4 Cr
Jamaica,₹72.4 Cr
Burundi,₹87.4 Cr
Tanzania,₹72.2 Cr
Chad,₹68.4 Cr
Palestine,₹82.2 Cr
Central African Republic,₹65.6 Cr
Guatemala,₹62.2 Cr
Latvia,₹65.8 Cr
Tajikistan,₹62.2 Cr
Syria,₹63.4 Cr
Bangladesh,₹58 Cr
Uganda,₹70 Cr
El Salvador,₹57 Cr
Oman,₹63.8 Cr
Madagascar,₹54.6 Cr
Vietnam,₹51 Cr
Malaysia,₹60.8 Cr
Kyrgyzstan,₹56.4 Cr
Thailand,₹51.4 Cr
Bahrain,₹49.2 Cr
Lebanon,₹44.4 Cr
North Korea,₹54.8 Cr
Rwanda,₹56 Cr
Faroe Islands,₹40.8 Cr
New Caledonia,₹41.6 Cr
Equatorial Guinea,₹33.4 Cr
India,₹32 Cr
Eritrea,₹34.6 Cr
Kuwait,₹33.8 Cr
Martinique,₹29.4 Cr
Trinidad and Tobago,₹30.2 Cr
Nicaragua,₹30.2 Cr
Comoros,₹29 Cr
Singapore,₹35 Cr
Hong Kong,₹28 Cr
Pakistan,₹27.88 Cr
Philippines,₹25.2 Cr
